Ter prazer no que faço,Ajudar os outros,Supervisionar outras pessoas,Ter melhores condições de vida,Ser feliz com o trabalho que realizo,Colaborar para o desenvolvimento da sociedade,Obter posição de destaque,Estabilidade financeira,Identificar-me com o trabalho,Ser útil para a sociedade,Ter fama,Poder me sustentar,Realização pessoal,Colaborar com colegas para atingir metas do grupo,Ter prestígio,Ser independente financeiramente,Satisfação Pessoal,Amizade com colegas de trabalho,Competir com colegas de trabalho para alcançar minhas metas profissionais,Ganhar dinheiro,Trabalho que requer originalidade/criatividade,Conhecer pessoas,Status no trabalho,Melhorar a qualidade de vida da minha família,Realização profissional,Auxiliar os colegas de trabalho,Ter superioridade baseada no êxito do meu trabalho,Suprir necessidades materiais,Autonomia para estabelecer a forma de realização do trabalho,Combater injustiças sociais,Seguir a profissão da família,Trabalho Interessante,Ter compromisso social,Ter notoriedade,Gostar do que faço,Bom relacionamento com colegas de trabalho,Competitividade,Trabalho intelectualmente estimulante,Mudar o mundo,Enfrentar desafios,Realizar um trabalho significativo para mim,Preservar minha saúde,Crescimento intelectual,Trabalho variado,Aprimorar conhecimentos da minha profissão,"Atualmente, o setor que prefiro me inserir para trabalhar é: ",Minha atual organização é:,Idade,Disponibilizar dados
6,6,4,7,6,7,3,7,5,6,1,7,6,5,3,7,6,7,1,7,5,6,2,6,5,5,3,6,5,6,2,5,6,4,6,7,1,3,6,2,6,7,5,7,5,2,0,19,0
6,7,4,7,6,7,6,5,5,7,4,7,6,6,4,7,5,5,4,7,4,3,4,6,7,6,2,6,5,3,1,5,4,4,5,5,5,3,4,5,5,7,5,6,7,0,0,18,1
6,6,4,5,6,5,4,6,7,5,3,7,6,6,5,7,7,7,3,5,6,7,5,7,7,5,4,6,7,7,1,6,5,5,7,7,4,7,7,4,7,7,6,6,6,0,0,19,1
6,6,4,7,6,6,5,7,7,7,2,7,7,5,5,7,7,6,4,5,3,5,5,7,7,5,4,4,5,4,2,6,6,3,6,6,3,6,5,5,6,6,6,4,5,0,0,19,1
7,7,3,4,7,7,5,7,7,7,4,7,7,7,4,7,7,7,1,6,7,7,4,4,7,7,1,5,6,7,4,7,7,5,7,7,1,7,7,7,7,7,7,7,7,2,0,19,1
6,5,4,7,7,4,4,7,6,5,2,7,6,4,3,7,6,4,2,5,5,1,2,6,6,3,2,3,4,5,1,5,5,2,5,5,1,6,4,3,6,7,6,5,6,2,0,21,0
7,5,2,6,7,7,6,5,5,7,3,6,6,7,5,7,7,5,1,6,4,5,5,6,6,5,2,5,4,5,1,6,5,5,7,7,3,7,6,6,7,4,6,5,6,0,0,18,1
6,5,4,7,5,5,4,6,4,4,2,7,7,6,3,7,6,6,4,5,5,6,3,7,7,5,6,6,4,5,1,4,4,2,5,6,3,5,5,5,5,5,5,4,4,0,0,20,0
6,5,2,5,5,6,5,6,6,5,1,7,6,6,5,7,6,6,1,6,4,5,6,5,6,5,1,5,4,5,1,6,6,5,6,6,1,6,5,5,7,6,7,4,6,0,0,19,0
7,7,2,7,7,6,6,7,7,5,4,7,7,6,4,7,7,7,1,7,7,7,5,7,7,6,7,6,6,6,3,6,6,5,7,7,2,6,4,7,7,7,7,7,7,0,1,19,1
7,6,2,6,7,6,7,7,7,6,5,7,7,6,7,7,7,5,3,3,6,4,6,5,7,6,6,5,6,5,1,7,5,7,7,5,5,7,5,7,6,2,6,5,7,2,2,21,0
5,6,2,5,6,2,1,7,7,5,1,7,7,3,1,7,4,4,1,7,3,4,1,7,6,3,6,5,4,2,1,5,3,1,6,6,3,7,1,4,7,7,7,1,7,2,0,22,0
5,4,4,6,4,5,2,7,4,5,1,7,4,5,2,7,5,6,4,7,4,4,3,7,4,4,6,6,5,5,2,3,5,2,3,6,4,5,3,5,4,6,5,3,6,0,0,19,1
7,6,3,7,7,6,2,5,5,6,1,7,6,5,4,7,6,6,3,5,4,5,2,7,6,4,3,4,5,4,1,5,5,3,6,6,2,5,6,5,7,7,6,4,5,2,0,20,0
7,6,2,6,6,6,2,6,6,6,2,7,7,6,6,7,7,2,2,6,6,6,2,6,6,6,3,3,6,6,1,6,6,6,6,4,2,5,3,6,6,6,6,3,6,2,1,23,1
1,4,1,7,2,1,4,7,1,5,1,7,1,2,1,7,1,2,1,7,4,1,1,7,1,5,1,7,6,1,1,1,5,1,1,1,1,3,1,1,1,1,2,1,5,0,1,20,0
2,6,6,7,7,7,5,7,7,7,1,7,4,7,2,7,4,7,2,7,3,3,3,7,7,5,7,7,7,3,1,7,6,2,2,6,5,5,1,5,5,5,6,4,7,0,1,20,1
4,4,2,7,4,3,5,7,6,5,1,7,7,5,3,7,6,4,1,7,3,3,1,7,7,5,2,6,2,3,1,4,6,2,4,5,2,5,3,6,7,7,7,4,7,0,0,18,0
6,5,2,7,6,4,6,7,6,6,1,7,7,6,6,7,7,7,1,7,5,5,6,6,7,5,3,7,6,3,1,7,5,5,6,7,2,6,1,3,6,7,6,3,6,0,1,23,1
6,7,1,7,6,5,2,7,6,5,2,6,6,5,2,7,6,5,1,6,2,7,2,7,6,4,2,7,5,3,1,5,3,2,6,6,1,4,3,2,4,7,6,2,5,0,0,19,1
5,7,5,7,6,7,7,5,4,5,1,7,7,6,6,7,6,7,4,7,4,5,6,7,7,7,7,5,4,5,2,6,6,7,6,6,5,7,6,7,7,3,7,3,2,0,2,19,0
3,2,1,3,2,1,1,3,1,1,1,1,2,1,2,3,2,2,1,3,1,2,2,2,3,1,1,1,1,1,1,3,1,2,3,3,1,1,1,2,1,1,2,1,3,0,1,18,0
3,6,4,6,4,2,7,6,7,2,2,5,3,7,5,5,5,5,2,6,6,7,4,7,5,7,7,4,6,2,1,7,3,5,7,5,5,7,3,7,4,4,7,5,7,0,0,19,0
7,7,3,7,7,7,5,7,7,7,1,7,7,5,1,7,7,7,3,5,7,7,1,7,7,7,2,3,6,7,1,7,7,1,7,7,3,7,7,7,7,7,7,7,7,0,0,18,1
7,3,4,6,7,3,6,6,7,4,1,6,7,4,2,7,7,4,3,6,4,4,3,6,7,3,5,6,7,4,4,5,3,2,7,4,2,5,3,4,7,6,6,2,6,0,0,18,0
