,,corr
Gostar do que faço,Ter prazer no que faço,0.7938520668245836
Bom relacionamento com colegas de trabalho,Amizade com colegas de trabalho,0.77814830308492
Ser útil para a sociedade,Colaborar para o desenvolvimento da sociedade,0.7451957632065032
Ter compromisso social,Combater injustiças sociais,0.7404853028699171
Ser independente financeiramente,Poder me sustentar,0.7370143425671379
Ter notoriedade,Ter prestígio,0.7355823623308091
Satisfação Pessoal,Realização pessoal,0.7287841834609136
Realização profissional,Satisfação Pessoal,0.716228214216353
Identificar-me com o trabalho,Ser feliz com o trabalho que realizo,0.7149469877660248
Ter compromisso social,Ser útil para a sociedade,0.6992843264934012
Satisfação Pessoal,Ter prazer no que faço,0.6949925320092345
Realização profissional,Realização pessoal,0.6868052884957314
Ser feliz com o trabalho que realizo,Ter prazer no que faço,0.6827878550042501
Gostar do que faço,Satisfação Pessoal,0.6814012285500742
Competitividade,Competir com colegas de trabalho para alcançar minhas metas profissionais,0.6751382187894075
Gostar do que faço,Ser feliz com o trabalho que realizo,0.6632153561687179
Ter compromisso social,Colaborar para o desenvolvimento da sociedade,0.6464637829788739
Combater injustiças sociais,Colaborar para o desenvolvimento da sociedade,0.6443005685798435
Status no trabalho,Ter prestígio,0.6427978273384518
Conhecer pessoas,Trabalho que requer originalidade/criatividade,0.6369253775005073
Crescimento intelectual,Trabalho intelectualmente estimulante,0.6310054767054424
Poder me sustentar,Estabilidade financeira,0.6293377817920677
Status no trabalho,Obter posição de destaque,0.6282233414210636
Realizar um trabalho significativo para mim,Gostar do que faço,0.625128170722616
Ter notoriedade,Status no trabalho,0.6241396297479843
Satisfação Pessoal,Identificar-me com o trabalho,0.6191234229043048
Auxiliar os colegas de trabalho,Colaborar com colegas para atingir metas do grupo,0.6139214029852361
Ter notoriedade,Obter posição de destaque,0.6136220923665949
Gostar do que faço,Trabalho Interessante,0.605065516924438
